  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
  52 20140812 022148.624 63.67339 -19.31591  0.136  0.76  0.74
  53 20140812 022412.453 63.65303 -19.33209  0.136  0.51  0.39
  54 20140812 025712.322 63.69207 -19.67448  0.136 -0.32 -1.00
  55 20140812 034727.384 63.54723 -19.10898  0.136  0.30  0.44
  56 20140812 040807.930 65.10489 -16.37374  7.053  0.31  0.32
  57 20140812 042836.246 64.65318 -17.42406  8.183  0.91  0.73
  58 20140812 045312.461 64.62678 -16.71654  8.854  1.74  1.47
  59 20140812 045332.209 64.64157 -16.72570 12.241  1.20  0.78
  60 20140812 050157.472 64.78337 -16.74372 15.605  0.52 -0.10
  61 20140812 050812.399 64.60262 -16.72801  8.625  0.55  0.32
  62 20140812 050917.938 64.62070 -16.72684 12.467  1.10  0.58
  63 20140812 053058.617 66.25393 -16.57603  6.020  0.82  0.97
  64 20140812 054652.432 63.60937 -19.02510 12.076  0.21 -0.26
  65 20140812 060841.193 64.96806 -17.99082  1.805  1.37  1.27
  66 20140812 063541.325 63.88564 -22.07493  7.305  1.03  0.67
  67 20140812 063738.118 63.96127 -21.21075  5.138  0.09  0.03
  68 20140812 065342.299 64.61926 -16.72592 10.922  0.57  0.22
  69 20140812 065935.297 63.90184 -21.90885 10.462  0.76  0.55
  70 20140812 065937.209 63.90544 -21.89253  9.676  0.91  0.54
  71 20140812 071528.873 65.70374 -16.77169  2.429  1.07  0.41
  72 20140812 071700.707 63.88241 -22.02405  5.104  0.23 -0.11
  73 20140812 082353.749 63.90128 -22.03063  4.368  1.36  1.16
  74 20140812 091955.642 64.68548 -17.38388  8.667  2.04  2.14
  75 20140812 092111.563 64.66874 -17.38695  4.402  0.53  0.31
  76 20140812 094732.822 64.67303 -17.38680  6.997  0.80  0.66
  77 20140812 100654.067 64.67257 -17.38793  7.704  1.55  0.95
  78 20140812 101746.003 63.90820 -22.01589  2.869  1.17  0.89
  79 20140812 101930.143 64.67281 -17.38693  6.845  1.18  0.72
  80 20140812 102345.406 63.54106 -19.11179  0.136  0.76  0.36
  81 20140812 103631.451 63.64802 -19.31901  0.136  0.54  0.70
  82 20140812 105245.775 64.04704 -21.22220  5.025  0.49  0.34
  83 20140812 105950.907 63.60176 -23.58518 13.106  2.07  2.01
  84 20140812 110333.307 63.87163 -22.01725  6.207  0.66 -0.14
  85 20140812 120001.325 63.65908 -19.34550  0.136  0.48  0.30
  86 20140812 121649.197 63.86647 -22.08812  4.003  0.57  0.37
  87 20140812 133139.675 63.95487 -21.30336  4.594  0.57  0.28
  88 20140812 134935.631 64.43772 -17.74073  4.967  0.57  0.46
  89 20140812 135059.892 65.09318 -16.33572  2.459  1.41  0.76
  90 20140812 142446.509 63.96425 -18.95605  0.136  0.59  0.82
  91 20140812 150517.197 64.10609 -21.27460  4.756 -0.03 -0.14
  92 20140812 152021.462 64.68089 -17.29567  1.126  0.22  0.16
  93 20140812 155829.025 63.94242 -20.43877  8.731  0.44  0.92
  94 20140812 174706.087 64.50455 -17.66683  1.699  0.60  0.54
  95 20140812 180243.760 66.12172 -17.65541  9.409  0.60  0.83
  96 20140812 184504.886 64.31532 -17.53044  7.324  1.02  1.04
  97 20140812 190845.038 63.89838 -22.05490  4.391  1.80  1.35
  98 20140812 191547.810 63.57202 -18.77388  1.145  0.25  0.51
  99 20140812 193403.446 63.88823 -22.05228  4.484  1.15  0.91
 100 20140812 193611.117 64.61823 -17.51847  7.727  1.28  0.95
 101 20140812 193643.867 66.56100 -19.09486  6.273  1.09  1.05
 102 20140812 195422.011 66.65329 -19.18302 11.520  1.60  1.56
 103 20140812 195425.387 66.59097 -19.13190  6.016  2.35  1.54
 104 20140812 205420.855 66.07677 -16.63797  8.076 -0.09 -0.25
 105 20140812 222122.303 65.70957 -16.75989  1.161  0.39 -0.21
 106 20140812 222700.557 64.02409 -21.19385  4.098  0.76  0.59
 107 20140812 225538.260 63.66728 -19.32053  0.136  0.85  1.09
 108 20140812 232402.389 65.14743 -16.41803  7.962  0.11  0.25
 109 20140813 002937.233 64.85479 -19.73899  1.292  1.94  1.63
 110 20140813 011625.628 63.60978 -19.14484 12.427  0.68 -0.11
 111 20140813 015620.594 66.39545 -17.25886 10.487  0.46  0.70
 112 20140813 021914.915 64.39704 -20.33484  5.931  1.15  1.19
 113 20140813 022400.270 63.54950 -19.11631  0.136  0.16  0.33
 114 20140813 023044.390 64.67262 -17.39237  7.047  0.93  0.59
 115 20140813 023522.881 64.65847 -17.53221  8.063  1.08  0.75
 116 20140813 031142.822 64.66010 -17.44370  1.750  0.62  0.14
 117 20140813 032949.759 65.07900 -16.60192  8.101  0.36 -0.29
 118 20140813 033041.792 64.68849 -17.45712  7.476  0.49  0.52
 119 20140813 040136.195 64.99790 -16.67713  3.982  0.41  0.91
 120 20140813 040143.754 65.07613 -16.54640  2.364  0.73  0.46
 121 20140813 041538.587 65.08176 -16.53499  0.645  0.24  0.00
 122 20140813 041655.472 64.99073 -16.67838  2.352 -0.21 -0.25
 123 20140813 044007.914 65.07204 -16.54787  3.201  0.84  0.51
 124 20140813 050429.848 65.09180 -16.56418  1.094 -0.18 -0.13
 125 20140813 053252.806 65.10188 -16.57795  6.059  0.81 -0.06
 126 20140813 054931.886 64.12049 -16.87835  2.330  0.10  0.21
 127 20140813 075231.427 63.97221 -20.92528  6.958 -0.07 -0.02
 128 20140813 092550.058 65.71121 -16.80374  2.388  0.81  0.22
 129 20140813 095109.311 65.89026 -16.92497 10.653 -0.16 -0.65
 130 20140813 104338.123 63.89034 -21.99996  3.495  0.73  0.53
 131 20140813 122554.308 65.06396 -16.56013  3.439  0.68  0.61
 132 20140813 130216.455 65.06728 -16.55890  3.531  0.59  0.39
 133 20140813 131525.562 64.66612 -17.40116  7.837  1.05  1.03
 134 20140813 132410.820 64.67710 -17.41400  8.435  0.56  0.37
 135 20140813 134537.020 64.03933 -21.11763  5.150  0.91  0.61
 136 20140813 141143.710 64.35018 -20.30348  3.429  0.89  1.13
 137 20140813 141531.954 64.67405 -17.36698  4.611  0.61  0.40
 138 20140813 142326.713 64.86848 -19.58138  2.286  1.80  1.53
 139 20140813 142339.231 64.88924 -19.54588  2.273  1.41  1.57
 140 20140813 142351.284 64.85053 -19.56327  2.587  1.63  1.48
 141 20140813 142358.479 64.86412 -19.56631  2.460  1.45  1.35
 142 20140813 142547.495 64.86525 -19.59130  2.024  2.00  1.78
 143 20140813 142601.708 64.90308 -19.59505  1.145  1.85  1.96
 144 20140813 142603.622 64.86893 -19.57557  2.698  2.45  2.00
 145 20140813 142631.353 64.87724 -19.60812  2.346  1.28  1.17
 146 20140813 142843.130 64.86362 -19.56328  3.058  2.22  1.82
 147 20140813 142924.925 64.50221 -17.84487 11.262  0.85  0.56
 148 20140813 143119.105 64.88168 -19.56016  3.609  2.48  2.01
 149 20140813 145009.927 64.86343 -19.56909  2.872  1.45  1.29
 150 20140813 145704.622 64.86679 -19.56851  0.206  1.42  0.94
 151 20140813 145915.538 64.87686 -19.57110  3.258  2.32  2.35
 152 20140813 150252.994 64.87717 -19.55555  1.417  0.74  0.78
 153 20140813 154039.634 64.50993 -17.69798 10.431  2.29  1.59
 154 20140813 155329.150 64.66096 -17.36468  1.336  0.95 -0.14
 155 20140813 160740.009 64.87440 -19.56546  2.540  2.11  1.77
 156 20140813 162052.046 66.07270 -16.63087  7.868  0.41  0.32
 157 20140813 164125.171 64.86185 -19.57989  1.791  1.69  1.36
 158 20140813 164143.355 64.86073 -19.57221  2.664  1.58  1.18
 159 20140813 164436.452 65.70326 -16.78522  2.127  0.51 -0.04
 160 20140813 165216.333 63.64810 -19.35229  0.136  1.38  1.86
 161 20140813 174434.756 66.21590 -16.89756  6.390  0.24  0.57
 162 20140813 174639.373 63.54814 -19.10970  0.044  0.72  0.23
 163 20140813 192654.212 64.61934 -17.51100  7.978 -0.24 -0.47
 164 20140813 195424.487 64.87234 -19.56844  3.155  2.08  1.53
 165 20140813 225844.641 65.16382 -17.06975  2.501  1.29  1.29
 166 20140813 231920.101 63.66677 -19.31972  0.136  0.72  0.81
 167 20140813 234815.802 62.70903 -18.64752 44.521  2.86  3.51
 168 20140814 001905.234 63.66420 -19.31275  0.136  1.69  0.22
 169 20140814 002629.176 63.54919 -19.11069  0.136  0.21  0.25
 170 20140814 003243.828 64.68270 -17.39760  8.531  1.11  0.60
 171 20140814 023150.994 63.64780 -23.37223  7.039  1.68  1.58
 172 20140814 023831.399 63.66942 -19.11664  2.184  0.36  0.13
 173 20140814 031414.676 63.88984 -19.06901  3.878  0.66  0.98
 174 20140814 031425.739 63.89814 -19.09226  9.105  1.02  1.47
 175 20140814 042015.694 64.86702 -19.62527  0.481  1.49  0.55
 176 20140814 051519.292 66.22927 -16.62883  6.516  0.68  0.95
 177 20140814 052003.515 64.70055 -17.35911 11.886  1.07  0.98
 178 20140814 052556.166 65.16410 -17.07239  1.207  0.52  0.51
 179 20140814 054154.777 64.15348 -16.98236  2.470  0.16  0.26
 180 20140814 062352.230 64.78124 -17.62303 15.604  0.61 -0.49
 181 20140814 063112.150 63.94879 -20.93294  7.341 -0.04 -0.01
 182 20140814 063611.209 64.68064 -17.35826 10.420  0.53  0.02
 183 20140814 073410.641 63.66476 -19.31950  0.136  0.19  0.31
 184 20140814 074525.584 63.54987 -19.10886  0.136  0.61  0.37
 185 20140814 080545.469 64.67448 -17.38435  5.670  1.01  0.38
 186 20140814 081043.973 66.28310 -18.58795 12.153  0.82  0.57
 187 20140814 083128.436 66.25912 -16.77840  6.072  0.82  0.76
 188 20140814 090524.323 64.66115 -17.40575  6.592  0.91  0.79
 189 20140814 091539.510 63.68866 -19.32683  0.136  0.14  0.81
 190 20140814 094014.718 66.01473 -17.29199  5.356  0.59  0.49
 191 20140814 100547.648 65.03307 -16.68273  4.654  1.47  0.76
 192 20140814 104154.017 63.59286 -19.07501  1.434  0.32 -0.20
 193 20140814 104420.762 66.24844 -16.58829  6.287  0.73  1.01
 194 20140814 125526.217 64.66850 -17.43176  3.229  2.17  1.91
 195 20140814 125603.974 64.67455 -17.44174  8.350  1.54  1.22
 196 20140814 145135.239 64.66515 -17.44090  7.680  1.15  0.81
 197 20140814 151526.354 64.67124 -17.44875  7.442  1.14  0.82
 198 20140814 155808.378 64.05512 -21.39286  4.935  0.58  0.46
 199 20140814 155831.896 64.67167 -17.40757  8.834  2.04  1.65
 200 20140814 163801.001 63.54911 -19.11521  0.136  0.97  0.28
 201 20140814 164816.860 65.88436 -16.97484  1.867  0.72  0.51
 202 20140814 172501.615 65.72372 -17.46959  0.497  0.91  0.89
 203 20140814 182256.480 63.97960 -20.82043  2.534  1.36  1.16
 204 20140814 191549.065 65.86067 -16.98981  3.935  0.57 -0.15
 205 20140814 200007.949 64.65646 -17.43834  6.020  1.09  0.60
 206 20140814 201333.706 63.64637 -19.05586  2.115  1.09  0.51
 207 20140814 212501.681 66.40982 -17.86889  8.325  0.53  0.88
 208 20140814 212516.963 64.66388 -17.27210  4.590  0.47  0.30
 209 20140814 214103.163 63.54509 -19.11330  0.136  0.37  0.34
 210 20140814 224319.415 64.67191 -17.39079  6.706  1.12  0.70
 211 20140814 225913.174 66.41515 -17.85247  9.241  0.88  1.06
 212 20140814 232756.004 64.67384 -17.37361  8.833  1.37  1.11
 213 20140814 234529.481 63.65187 -19.33754  0.136  0.86  0.72
 214 20140815 000351.036 63.64505 -19.29788  0.136  1.42  0.44
 215 20140815 001241.415 64.68613 -17.40871  9.700  2.06  1.44
 216 20140815 001957.257 64.63625 -17.51653  0.043 -0.18 -0.30
 217 20140815 013441.613 64.68567 -17.35674  3.627  0.81  0.57
 218 20140815 014125.617 64.69275 -17.36508  5.931  0.76  0.53
 219 20140815 015154.712 64.68267 -17.44566  8.970  1.40  1.05
 220 20140815 021509.869 65.02077 -16.67038  3.802  1.07  0.95
 221 20140815 022716.940 64.67403 -17.43162  7.024  1.62  1.13
 222 20140815 023855.546 63.92683 -19.25704  0.622  0.69  0.60
 223 20140815 025031.842 64.69293 -17.36763  6.712  0.75  0.60
 224 20140815 041425.402 64.67458 -17.32312  8.042  0.78  0.56
 225 20140815 041552.853 66.60430 -17.75294  6.863  0.41  0.46
 226 20140815 041925.788 63.66105 -19.31258  0.136  0.83  0.85
 227 20140815 041935.969 63.66314 -19.31686  0.040  0.90  0.97
 228 20140815 043742.720 64.67705 -17.25727  6.171  0.77  0.46
 229 20140815 043838.812 64.66676 -17.29027  6.367  1.14  0.67
 230 20140815 044620.438 65.17042 -17.07621  9.301  0.70  0.54
 231 20140815 050416.560 64.67552 -17.31920  7.393  0.83  0.51
 232 20140815 054159.368 63.88979 -22.03756  5.346  0.75  0.55
 233 20140815 062538.894 63.54828 -19.11842  0.136  0.34  0.33
 234 20140815 065209.378 64.52177 -17.81670  6.778  0.45  0.35
 235 20140815 073236.959 66.26562 -16.86967 10.377  0.88  0.79
 236 20140815 110702.820 64.50449 -17.69282  1.515  0.75  0.59
 237 20140815 112424.405 64.67437 -17.38981  8.707  2.33  2.60
 238 20140815 112729.783 64.66348 -17.38288  3.927  1.03  0.91
 239 20140815 113001.557 64.66712 -17.39482  1.144  1.02  0.33
 240 20140815 114503.158 64.67508 -17.44536  7.662  2.16  1.27
 241 20140815 115149.351 64.68368 -17.41860 11.545  1.22  0.36
 242 20140815 120942.337 64.70638 -17.49872  0.136 -0.42 -0.40
 243 20140815 122439.033 64.62779 -17.36326  0.136  1.24  0.80
 244 20140815 123614.676 64.69425 -17.46551  0.136 -0.34 -0.27
 245 20140815 135540.735 64.07299 -21.16143  5.535  0.74  0.22
 246 20140815 144105.111 66.38712 -17.83128 10.021  1.51  1.78
 247 20140815 144516.109 64.69299 -17.40337 10.227  2.10  1.74
 248 20140815 152041.631 65.10151 -16.39654  9.112  0.99  0.58
 249 20140815 153057.153 64.66479 -17.40103  7.985  1.07  1.03
 250 20140815 155406.198 64.68037 -17.39935  7.817  1.26  0.83
 251 20140815 170306.943 64.61169 -17.48671  0.464  2.32  1.37
 252 20140816 001301.798 63.64625 -23.30097  8.744  1.90  1.93
 253 20140816 014506.326 63.54929 -19.10203  0.135  0.40  0.36
 254 20140816 030400.599 64.60992 -17.45988  0.149  1.48  1.26
 255 20140816 031828.480 64.61439 -17.44344  0.612  1.54  1.27
 256 20140816 032335.131 64.61121 -17.54330 10.405  1.57  1.22
 257 20140816 032822.132 64.00646 -20.22742  7.912  1.19  0.96
 258 20140816 033351.747 64.62341 -17.41871 11.529  1.61  1.54
 259 20140816 033828.517 64.60291 -17.51117  7.825  2.02  1.30
 260 20140816 034023.527 64.64244 -17.39186  9.854  2.24  1.91
 261 20140816 034259.196 64.60944 -17.38898  0.038  2.54  1.57
 262 20140816 034740.988 64.60469 -17.53296  3.728  2.32  1.73
 263 20140816 035005.214 64.62151 -17.41829  6.791  2.51  2.44
 264 20140816 035121.391 64.61575 -17.38807  0.821  1.64  1.38
 265 20140816 035233.328 64.65518 -17.41466  9.305  1.65  1.22
 266 20140816 035441.955 64.63204 -17.40750 14.413  2.27  2.05
 267 20140816 035459.287 64.61869 -17.38885  7.861  2.47  2.45
 268 20140816 035909.035 64.62450 -17.39946  1.966  2.09  1.86
 269 20140816 040450.706 64.62608 -17.39681 11.259  2.90  3.16
 270 20140816 040450.812 64.62586 -17.39645  6.876  2.95  3.12
 271 20140816 040654.483 64.63863 -17.44689  7.988  2.18  1.60
 272 20140816 041010.842 64.58081 -17.45050  2.567  1.64  1.36
 273 20140816 041054.823 64.61051 -17.37169  3.030  1.73  1.50
 274 20140816 041128.171 64.61253 -17.54673  5.458  1.67  1.49
 275 20140816 041136.968 64.65751 -17.33464  1.963  1.77  1.51
 276 20140816 041507.004 64.63406 -17.41262  4.159  3.15  2.20
 277 20140816 041538.261 64.63017 -17.55688  1.102  1.50  1.42
 278 20140816 041815.681 64.64081 -17.38946 10.094  1.72  1.26
 279 20140816 042203.358 64.63035 -17.39025  9.181  2.41  1.77
 280 20140816 043137.795 64.63676 -17.38764  7.349  2.01  1.11
 281 20140816 043728.063 64.61273 -17.47631  5.109  1.81  1.58
 282 20140816 043950.680 64.65009 -17.38898 11.656  2.50  2.20
 283 20140816 044412.971 64.62991 -17.33504  2.449  1.57  0.98
 284 20140816 044546.597 64.65271 -17.49611  7.476  1.87  1.52
 285 20140816 045743.052 64.64137 -17.40460 11.531  2.57  2.66
 286 20140816 050124.094 64.62196 -17.41404 11.046  1.80  1.21
 287 20140816 050452.157 64.62892 -17.38646  2.420  2.40  1.86
 288 20140816 050744.989 64.60408 -17.32191  0.135  2.25  1.66
 289 20140816 051344.274 64.60767 -17.33464  8.628  1.52  1.33
 290 20140816 051622.165 64.64234 -17.39271  1.518  2.36  2.11
 291 20140816 052526.917 64.62530 -17.37824  3.491  1.28  1.00
 292 20140816 054720.290 64.61884 -17.33923  6.318  1.99  1.43
 293 20140816 054939.047 64.61345 -17.33615  7.770  2.22  1.61
 294 20140816 055348.931 64.61127 -17.36940  2.389  1.88  1.76
 295 20140816 055631.882 64.61707 -17.33400  4.697  1.82  1.23
 296 20140816 055756.802 64.62872 -17.33003  2.223  1.53  1.20
 297 20140816 060545.434 64.60894 -17.35550  7.659  1.87  1.66
 298 20140816 061006.756 64.61984 -17.36372  8.114  1.83  1.80
 299 20140816 063435.014 64.62812 -17.32692  7.466  2.04  1.33
 300 20140816 064455.886 64.61552 -17.39740 13.112  1.93  1.97
 301 20140816 064756.435 64.68604 -17.81317  5.326  1.96  1.23
 302 20140816 064842.594 64.61057 -17.40073  6.628  1.94  1.50
 303 20140816 070055.627 64.62415 -17.40907 18.325  1.58  1.35
 304 20140816 071221.672 64.68316 -17.22041  5.343  1.49  1.19
 305 20140816 071647.993 64.67422 -17.29369  5.627  2.35  1.91
 306 20140816 072146.950 64.70523 -17.30448  7.013  1.51  1.32
 307 20140816 072407.197 64.69710 -17.30676  7.433  1.62  1.31
 308 20140816 073058.406 64.61726 -17.35245  9.033  2.07  1.59
 309 20140816 073253.162 64.73308 -17.32092  3.163  1.51  1.46
 310 20140816 073256.955 64.71918 -17.20966 11.501  1.52  1.33
 311 20140816 073411.969 64.62708 -17.33212  3.599  1.91  1.49
 312 20140816 074002.947 64.67626 -17.25338 10.640  1.85  1.94
 313 20140816 074056.702 64.65820 -17.22409  8.957  1.85  1.75
 314 20140816 074235.012 64.66369 -17.25100 11.485  2.05  1.54
 315 20140816 074808.631 64.60943 -17.33272 10.683  1.78  1.49
 316 20140816 074853.387 64.62030 -17.34656  7.977  2.25  1.72
 317 20140816 075330.827 64.48682 -17.77150 10.998  2.69  2.46
 318 20140816 080224.173 64.60455 -17.31302 13.617  1.85  1.39
 319 20140816 082111.305 64.62104 -17.35327 11.196  2.38  1.87
 320 20140816 084426.881 64.61864 -17.35144  9.768  2.22  1.59
 321 20140816 085936.724 64.70871 -17.29328  5.578  2.32  2.14
 322 20140816 090404.314 64.60281 -17.31606  9.397  2.02  1.46
 323 20140816 091021.124 64.65998 -17.26861  8.331  1.60  1.56
 324 20140816 091257.530 64.66479 -17.26853  9.370  2.16  1.96
 325 20140816 091329.775 64.69184 -17.32160  7.093  1.75  1.40
 326 20140816 091452.839 64.59851 -17.31184 12.243  2.04  1.49
 327 20140816 092150.110 64.60567 -17.30779 11.542  2.20  1.68
 328 20140816 092259.790 64.60694 -17.31895 12.479  2.27  1.73
 329 20140816 092900.039 64.60175 -17.30605 12.373  2.26  1.74
 330 20140816 093029.595 64.66167 -17.24721 10.881  1.64  1.66
 331 20140816 093201.985 64.67207 -17.25146 10.261  2.06  2.11
 332 20140816 093345.501 64.64107 -17.49793  9.273  1.89  1.41
 333 20140816 094134.254 64.61624 -17.35474 14.272  2.31  1.65
 334 20140816 094200.868 64.61597 -17.34882 10.707  1.84  1.54
 335 20140816 095855.243 64.58270 -17.26831  5.871  2.08  1.42
 336 20140816 100043.819 64.59795 -17.28499  2.995  1.66  1.33
 337 20140816 100126.901 64.69879 -17.33811  7.080  2.85  2.34
 338 20140816 100205.704 64.61512 -17.33087  4.457  2.69  1.88
 339 20140816 100435.999 64.68821 -17.29303  6.849  2.34  1.86
 340 20140816 101346.642 64.60260 -17.29819 10.962  1.99  1.74
 341 20140816 103445.046 64.60406 -17.31657 12.051  1.57  1.36
 342 20140816 104857.157 64.61831 -17.35588 10.884  2.19  1.82
 343 20140816 110405.899 64.68516 -17.27666  8.818  2.52  2.02
 344 20140816 110449.997 64.66644 -17.24605  9.273  1.94  1.67
 345 20140816 111404.340 64.61134 -17.32755  7.204  1.90  1.60
 346 20140816 112036.630 64.62174 -17.35081  8.154  2.38  1.88
 347 20140816 112629.711 64.60194 -17.30044 11.765  2.15  1.69
 348 20140816 113606.922 64.70624 -17.34314  8.178  2.19  2.23
 349 20140816 113936.574 64.60310 -17.30677 11.979  2.27  1.52
 350 20140816 114117.654 64.59454 -17.28380 11.123  1.68  1.25
 351 20140816 114227.810 64.70827 -17.34483  8.570  2.34  1.84
 352 20140816 114442.586 64.70267 -17.28166  8.164  2.58  2.67
 353 20140816 114739.799 64.61339 -17.32890 10.305  1.80  1.74
 354 20140816 120310.985 64.69757 -17.33278  7.490  2.96  3.05
 355 20140816 120459.096 64.69779 -17.31925  9.127  2.48  1.94
 356 20140816 120654.530 64.62075 -17.34227 11.344  2.42  1.95
 357 20140816 121626.224 64.77533 -17.18199  8.523  2.50  2.11
 358 20140816 121818.868 64.70511 -17.33550  8.899  2.20  2.19
 359 20140816 122304.707 64.62141 -17.35923  3.395  1.84  1.60
 360 20140816 122514.509 64.66966 -17.20679  6.354  2.07  2.13
 361 20140816 122713.230 64.67242 -17.23298  9.565  1.89  1.58
 362 20140816 124532.801 64.67534 -17.29260 10.740  2.51  2.26
 363 20140816 124645.178 64.60153 -17.30739 10.312  2.06  1.43
 364 20140816 130602.618 64.77341 -17.28988  7.271  2.19  1.85
 365 20140816 131202.194 64.76571 -17.24169  5.274  2.35  2.31
 366 20140816 131641.594 64.66095 -17.26168 12.401  2.13  1.96
 367 20140816 132313.526 64.62171 -17.35449  8.233  2.44  1.63
 368 20140816 134424.731 64.59858 -17.30043 10.990  1.80  1.72
 369 20140816 134450.692 64.60432 -17.31139 10.508  2.21  1.61
 370 20140816 135002.363 64.77729 -17.35688  5.884  2.11  1.79
 371 20140816 135619.050 64.70840 -17.31622  6.744  2.39  1.91
 372 20140816 140142.999 64.60464 -17.30134 11.438  1.97  1.84
 373 20140816 140929.054 64.61979 -17.36324  8.955  2.08  1.89
 374 20140816 141125.974 64.61268 -17.34086 11.302  2.18  1.70
 375 20140816 141605.659 64.61510 -17.34456  9.368  2.01  1.77
 376 20140816 150253.157 64.60544 -17.31692 11.430  2.73  1.62
 377 20140816 150530.836 64.70119 -17.33142  8.589  2.02  1.60
 378 20140816 150714.204 64.61291 -17.32434 10.949  1.48  1.36
 379 20140816 150928.007 64.50511 -17.52429  9.110  2.26  2.19
 380 20140816 151552.340 64.60218 -17.31526 13.774  1.69  1.28
 381 20140816 151826.392 64.66988 -17.28913 12.906  2.07  1.81
 382 20140816 152027.383 64.61378 -17.33899 12.087  1.63  1.29
 383 20140816 152208.397 64.67397 -17.31183  9.851  2.35  2.09
 384 20140816 152331.872 64.69484 -17.33245  9.880  2.57  2.61
 385 20140816 153513.273 64.77728 -17.16916  8.759  1.90  1.66
 386 20140816 153641.114 64.60474 -17.30763 11.234  1.66  1.53
 387 20140816 153945.452 64.61993 -17.34831 11.435  1.85  1.57
 388 20140816 154903.249 64.71506 -17.31427  7.966  3.20  3.30
 389 20140816 155125.620 64.70955 -17.31567  6.676  2.43  1.72
 390 20140816 155336.042 64.63544 -17.40024 10.633  1.93  1.57
 391 20140816 160430.350 64.67667 -17.24031  8.130  1.83  1.67
 392 20140816 161327.470 64.66403 -17.22944  8.370  1.77  1.43
 393 20140816 161943.422 64.75713 -17.26649  7.788  2.93  2.77
 394 20140816 162121.582 64.61059 -17.33436  7.978  2.03  1.82
 395 20140816 162154.565 64.75490 -17.26516  7.607  2.11  1.78
 396 20140816 162747.128 64.69382 -17.25886 11.696  1.68  1.43
