  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140811 010157.601 63.54692 -19.11382  0.136  0.28  0.34
   2 20140811 012257.531 64.84695 -19.59703  0.136  1.09  1.06
   3 20140811 012442.565 64.85824 -19.59000  1.819  0.73  0.70
   4 20140811 014249.686 64.84497 -19.60203  0.469  1.54  1.22
   5 20140811 014315.347 64.84491 -19.60553  0.433  1.48  1.36
   6 20140811 021735.527 65.02762 -16.49517  0.683  1.58  1.43
   7 20140811 021844.531 63.95294 -21.11577  5.004  0.12  0.17
   8 20140811 033631.160 65.05920 -16.43066  3.982  0.01 -0.56
   9 20140811 043035.299 64.66578 -17.37870  7.829  1.05  0.74
  10 20140811 043910.048 63.65070 -19.32320  0.136  0.61  0.77
  11 20140811 045554.760 63.96537 -20.86119  3.385 -0.06 -0.32
  12 20140811 051909.296 64.82458 -17.12589  4.924  0.03 -0.15
  13 20140811 061250.795 63.70320 -19.06952 14.368  0.51  0.24
  14 20140811 062403.496 63.86443 -19.79447  7.260  0.83  0.80
  15 20140811 070422.557 63.54850 -19.10728  0.136  0.01  0.37
  16 20140811 074709.554 64.05796 -21.39018  6.643  0.39  0.32
  17 20140811 075839.128 63.91935 -19.17305  0.136  1.56  1.40
  18 20140811 083255.888 63.97388 -20.92256  6.802  0.20  0.34
  19 20140811 084014.389 64.66512 -17.35302  3.933  0.58  0.25
  20 20140811 085054.020 65.04012 -16.47049  2.131  0.51  0.53
  21 20140811 090623.894 64.61253 -17.46844  4.181  1.41  0.56
  22 20140811 102824.747 64.60755 -17.50589  2.241  2.22  1.32
  23 20140811 110653.240 63.64914 -19.31886  0.136  0.57  1.01
  24 20140811 113924.643 64.66359 -17.35131  7.914  0.51  0.11
  25 20140811 115154.237 63.95291 -22.09928  7.012  1.38  0.96
  26 20140811 115247.657 63.94881 -22.10064  5.376  0.88  0.70
  27 20140811 134922.945 63.57740 -18.79599  0.136  0.24  0.50
  28 20140811 153722.831 63.90586 -22.03291  4.355  3.41  2.93
  29 20140811 153752.814 63.89929 -22.02857  4.389  2.15  1.83
  30 20140811 153800.662 63.90104 -22.03009  3.099  1.95  1.04
  31 20140811 154016.704 63.91438 -22.02020  2.476  1.17  0.92
  32 20140811 154037.139 63.92304 -22.02276  2.557  0.53  0.46
  33 20140811 155337.931 65.03993 -16.46581  0.136  0.38  0.38
  34 20140811 164117.592 65.10077 -16.36818  5.872  0.87  0.29
  35 20140811 170239.152 63.89259 -22.03711  4.243  0.71  0.57
  36 20140811 170913.762 63.54694 -19.10743  0.046  0.60  0.59
  37 20140811 174049.311 65.09230 -16.33667  4.108  1.46  1.32
  38 20140811 183028.956 65.64072 -16.88612  5.154  0.17 -0.17
  39 20140811 205331.055 63.89891 -22.02965  4.356  1.53  1.04
  40 20140811 211307.717 63.66082 -19.32389  0.136  0.69  0.41
  41 20140811 212835.284 64.79661 -17.30101  7.960  0.35  0.41
  42 20140811 221029.941 63.95972 -21.75778 10.095  0.60  0.55
  43 20140812 003234.895 66.22527 -18.29805 11.630  0.48  0.37
  44 20140812 003609.548 63.85540 -19.15557  7.992  0.30  0.90
  45 20140812 011611.468 64.50960 -17.72072  3.238  1.78  0.62
  46 20140812 012723.220 65.12089 -20.43566  8.340  0.97  1.38
  47 20140812 014405.145 63.65860 -19.23014  5.845  0.47  0.07
  48 20140812 014934.419 65.13448 -20.48586  7.619  1.32  1.45
  49 20140812 015438.950 65.13406 -20.47625  6.139  0.95  1.09
  50 20140812 020028.905 63.93959 -20.50947  6.570  0.98  0.94
  51 20140812 020406.492 65.12474 -20.48512  8.365  1.47  1.64
