  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140804 015726.193 64.98009 -17.97448  1.586  0.48  0.47
   2 20140804 041030.478 63.67668 -19.30833  0.069  0.52  0.94
   3 20140804 044631.004 64.62853 -17.38669  0.135  0.89  0.45
   4 20140804 050235.879 63.40915 -19.05159  4.776  0.64  0.82
   5 20140804 061408.351 66.22349 -17.23111  9.081  0.64  0.48
   6 20140804 064321.873 65.17009 -16.40289  5.527  0.68  0.54
   7 20140804 065015.570 64.04517 -21.39185  4.535  0.37  0.35
   8 20140804 072347.845 63.78791 -20.92617 11.312  1.44  1.32
   9 20140804 073452.968 65.09100 -16.40721  2.779  1.29  0.90
  10 20140804 074203.307 64.97592 -17.96352  1.231  1.21  1.05
  11 20140804 085941.327 63.60042 -19.07213  2.455  0.56  0.09
  12 20140804 090529.218 64.97441 -17.99943  2.428  1.40  1.26
  13 20140804 090610.819 64.97623 -18.00369  1.959  1.11  1.06
  14 20140804 095442.955 65.02553 -16.47565  0.600  0.25  0.25
  15 20140804 101954.724 66.30010 -17.25832 10.047  0.88  1.30
  16 20140804 105038.684 64.93333 -16.63971  0.536  0.07  0.85
  17 20140804 105103.004 65.16931 -16.41167  7.165  0.71  0.69
  18 20140804 105610.156 65.17141 -16.40484  5.922  1.20  1.14
  19 20140804 105740.491 65.16068 -16.42265  8.840  1.82  1.41
  20 20140804 105822.102 65.16909 -16.41225  6.618  1.23  1.47
  21 20140804 110334.091 65.16444 -16.39439  6.844  0.56  0.63
  22 20140804 111446.997 65.16083 -16.42058  9.118  1.36  1.37
  23 20140804 111711.369 65.15427 -16.38322  5.006  0.69  0.76
  24 20140804 112523.726 65.14101 -16.36543  5.531  0.57  0.45
  25 20140804 112554.047 65.17765 -16.39881  5.004  0.60  0.54
  26 20140804 112911.031 65.17101 -16.41062  5.483  0.59  0.83
  27 20140804 113242.291 65.15990 -16.42314  8.954  1.89  1.58
  28 20140804 114008.356 65.16600 -16.41274  6.203  0.66  0.67
  29 20140804 114243.881 65.17563 -16.39917  7.502  0.49  0.55
  30 20140804 120501.795 65.17485 -16.38204  6.391  0.43  0.59
  31 20140804 120940.709 65.16157 -16.39200  6.870  0.57  0.66
  32 20140804 121820.506 65.16827 -16.41031  6.216  0.78  1.35
  33 20140804 123907.591 63.90404 -21.19000  8.458  0.75  0.61
  34 20140804 125134.672 66.23328 -17.22136  7.866  0.85  1.05
  35 20140804 133407.249 63.53246 -19.10804  0.135  0.27  0.51
  36 20140804 171622.990 65.08718 -16.40177 11.880  0.59  1.01
  37 20140804 171626.830 65.10851 -16.38321  7.235  1.23  1.17
  38 20140804 172411.211 65.10432 -16.38407  7.707  1.35  1.20
  39 20140804 174957.711 65.15134 -16.35918  9.324  1.37  1.52
  40 20140804 185135.391 63.65639 -19.31349  0.135  1.35  1.39
  41 20140804 190901.787 65.13374 -16.33007  3.478  0.58  0.76
  42 20140804 205410.488 64.50943 -17.81576  5.041  1.24  1.22
  43 20140804 215819.110 63.97478 -19.99243  8.318  0.98  0.33
  44 20140804 220436.318 63.55207 -19.11635  0.135  0.49  0.43
  45 20140805 000829.553 64.98137 -17.99202  0.219  1.75  1.66
  46 20140805 014723.917 65.03009 -16.47169  0.135  0.21 -0.07
  47 20140805 025008.945 63.64512 -19.33305  0.135  0.50  1.18
  48 20140805 031252.819 63.88614 -22.03960  5.133  0.87  0.44
  49 20140805 043416.100 65.03204 -16.48012  1.085  0.61  0.63
  50 20140805 072517.095 64.00926 -20.47840  7.674  0.57  0.79
  51 20140805 095946.617 65.86031 -16.96045 10.627  1.01  0.02
