  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140901 000150.354 64.87301 -16.83888 10.941  0.95  0.87
   2 20140901 000214.785 64.80240 -16.91789 14.257  1.71  1.25
   3 20140901 000259.849 65.07281 -16.41840 14.792  1.28  0.68
   4 20140901 000340.603 65.12962 -16.35427  6.203  1.26  1.15
   5 20140901 000453.645 64.86190 -16.90143  7.995  0.95  1.02
   6 20140901 000534.446 65.11266 -16.38071  1.992  1.16  1.31
   7 20140901 000558.304 64.79087 -16.92501 13.676  1.26  1.27
   8 20140901 000638.829 64.81654 -16.89034 12.667  1.46  1.25
   9 20140901 000758.548 64.83703 -16.86428 11.454  0.99  0.83
  10 20140901 000827.909 64.81032 -16.92227 13.529  1.22  1.01
  11 20140901 000912.893 64.85671 -16.84919  7.480  1.04  0.85
  12 20140901 001152.269 64.82394 -16.88558 10.959  0.77  0.60
  13 20140901 001236.737 65.11887 -16.37430  1.513  0.83  1.00
  14 20140901 001437.999 64.81611 -16.89789 13.212  1.54  0.84
  15 20140901 001517.034 65.10693 -16.38724  4.325  1.68  1.44
  16 20140901 001617.773 64.86438 -16.84863 12.396  2.28  1.93
  17 20140901 001644.522 65.12339 -16.35546  1.397  1.12  0.96
  18 20140901 002111.426 64.89462 -16.84301  3.772  1.15  1.03
  19 20140901 002213.953 64.79124 -16.91403 14.754  1.40  1.30
  20 20140901 002325.345 64.86244 -16.85764  8.563  1.09  0.98
  21 20140901 002411.198 64.86644 -16.84718 12.184  1.22  1.13
  22 20140901 002626.854 64.76183 -16.92092 14.125  0.98  0.24
  23 20140901 002823.498 64.76079 -16.97014 10.057  1.68  1.16
  24 20140901 003034.121 64.67067 -17.45120  2.406  2.13  1.97
  25 20140901 003339.833 64.83211 -16.86414 13.078  1.40  1.19
  26 20140901 003539.064 64.85624 -16.85575 10.810  0.90  0.53
  27 20140901 003726.641 64.85934 -16.83649 18.932  1.21  0.73
  28 20140901 003821.935 65.12013 -16.35977  1.883  1.02  0.63
  29 20140901 003915.872 64.87344 -16.85570  9.665  0.83  0.67
  30 20140901 003941.952 64.79324 -16.92331 15.427  1.08  0.85
  31 20140901 004242.693 64.68375 -17.58733  9.136  2.17  1.81
  32 20140901 004349.219 64.72668 -16.86888 13.843  1.22  0.70
  33 20140901 004414.071 64.83961 -16.87724 13.076  1.23  0.83
  34 20140901 004653.692 64.87800 -16.83123 11.769  0.69  0.50
  35 20140901 004752.835 64.79329 -16.91444 14.087  2.00  1.62
  36 20140901 005143.895 65.11166 -16.38992  3.370  1.10  1.12
  37 20140901 005231.092 65.11489 -16.37495  1.468  1.14  0.78
  38 20140901 005404.284 64.76933 -16.94284 11.173  1.83  1.26
  39 20140901 005512.373 64.84201 -16.83242 11.055  0.77  0.62
  40 20140901 005654.382 65.09475 -16.41459  2.367  1.76  1.61
  41 20140901 005820.558 64.85655 -16.86730  9.620  0.85  0.45
  42 20140901 005837.512 65.11802 -16.37346  5.275  0.85  0.64
  43 20140901 010028.036 64.86082 -16.84970  8.147  1.32  1.13
  44 20140901 010138.447 64.84242 -16.85406 11.010  0.87  0.58
  45 20140901 010422.618 64.83902 -16.85914 12.057  0.96  0.65
  46 20140901 010540.343 64.85680 -16.81190 10.064  0.71  0.33
  47 20140901 010649.032 64.85741 -16.85825 12.817  1.14  1.03
  48 20140901 010754.003 64.80544 -16.85003  2.401  1.29  0.89
  49 20140901 010920.384 64.83110 -16.89469 13.939  1.34  1.11
  50 20140901 011053.399 65.11703 -16.37411  6.196  1.03  0.66
  51 20140901 011146.038 64.68637 -17.43178 13.114  1.79  0.81
  52 20140901 011320.939 64.78767 -16.90244 12.095  0.96  0.68
  53 20140901 011550.765 64.67184 -17.58417  7.894  1.61  1.20
  54 20140901 011721.558 64.62762 -17.33507  8.080  1.75  1.50
  55 20140901 011918.723 64.87956 -16.83922 12.835  1.94  1.47
  56 20140901 012044.639 64.85887 -16.84692  9.747  0.65  0.58
  57 20140901 012222.010 65.13191 -16.34781  6.200  1.01  0.73
  58 20140901 012315.929 64.85918 -16.84653 11.428  0.93  0.76
  59 20140901 012454.147 65.09854 -16.40857  1.088  1.81  1.82
  60 20140901 013025.729 64.85530 -16.86056 12.922  1.96  1.85
  61 20140901 013218.150 64.85838 -16.84438 12.298  0.63  0.50
  62 20140901 013445.005 64.79382 -16.89572 12.412  0.87  0.67
  63 20140901 014250.789 64.67031 -17.53152  7.316  1.90  1.95
  64 20140901 014307.211 64.66715 -17.53428  8.239  2.59  2.30
  65 20140901 014429.525 64.79860 -16.91743 14.070  1.04  0.75
  66 20140901 014455.280 64.75766 -16.95154 14.701  1.86  0.89
  67 20140901 014526.498 65.09312 -16.45382  4.924  1.13  0.90
  68 20140901 014646.786 65.09267 -16.45232  4.592  0.83  0.58
  69 20140901 015106.578 64.86172 -16.84834 12.634  0.97  0.75
  70 20140901 015313.637 64.81089 -16.91170 12.970  1.27  0.97
  71 20140901 015334.766 64.86800 -16.84670 12.601  0.98  1.06
  72 20140901 015420.539 64.67484 -17.56118  9.198  1.44  1.19
  73 20140901 015543.679 64.67429 -17.62977  6.408  1.79  1.39
  74 20140901 015612.074 64.77657 -16.88040 12.414  1.25  1.00
  75 20140901 015855.000 64.86053 -16.84567 11.687  0.91  0.64
  76 20140901 020032.736 64.77458 -16.94046 14.607  1.61  1.29
  77 20140901 020102.062 64.68648 -17.54403  8.918  1.37  1.08
  78 20140901 020154.626 64.79874 -16.86770 11.740  1.44  1.04
  79 20140901 020209.841 64.66027 -17.55016  6.682  2.29  1.89
  80 20140901 020238.656 64.77320 -16.98357 13.206  1.26  0.90
  81 20140901 020533.723 64.67104 -17.50367  7.383  1.61  0.88
  82 20140901 020628.199 64.81663 -16.90611 13.339  1.25  0.94
  83 20140901 020718.030 64.82375 -16.90574 13.411  1.08  0.71
  84 20140901 020833.627 65.05930 -16.51083 12.152  0.77  0.17
  85 20140901 021037.090 64.86955 -16.83062 12.263  1.30  1.29
  86 20140901 021211.486 64.78655 -16.90288 11.899  0.94  0.80
  87 20140901 021355.494 64.81102 -16.82250 10.300  0.98  0.81
  88 20140901 021646.780 64.79965 -16.91687 13.958  1.12  0.76
  89 20140901 022100.533 65.09001 -16.42298  3.779  2.07  1.90
  90 20140901 022207.558 64.80614 -16.91227 11.678  0.97  0.62
  91 20140901 022512.177 64.67258 -17.47335  2.694  3.86  2.58
  92 20140901 023651.294 64.86614 -16.84886 12.504  1.54  1.21
  93 20140901 023727.942 65.13279 -16.34597  3.584  1.18  1.00
  94 20140901 023815.671 65.08257 -16.40770 14.795  1.21  0.74
  95 20140901 024028.745 64.84999 -16.86112 10.898  1.00  0.80
  96 20140901 025536.508 64.87649 -16.84134 11.605  1.25  1.14
  97 20140901 025642.305 65.09532 -16.41663  3.203  2.88  2.88
  98 20140901 025846.298 65.10699 -16.41257  1.643  1.01  0.80
  99 20140901 025903.450 65.12479 -16.35623 10.450  1.33  1.11
 100 20140901 025930.292 65.11953 -16.38197  1.912  0.89  0.33
 101 20140901 030817.353 64.84455 -16.87558 10.858  0.97  0.86
 102 20140901 030949.473 64.61913 -17.42976  4.661  4.18  2.82
 103 20140901 032013.778 65.10325 -16.40410  5.159  2.38  1.95
 104 20140901 032201.915 64.82613 -16.88454 12.864  1.13  1.03
 105 20140901 032318.923 65.10150 -16.40252  5.991  1.88  1.55
 106 20140901 032520.431 64.81909 -16.90888 12.030  1.65  0.82
 107 20140901 032554.910 65.13003 -16.34877  5.081  0.86  0.75
 108 20140901 032641.912 65.11026 -16.39807  1.379  0.99  0.75
 109 20140901 032711.711 64.88268 -16.86037 10.561  0.95  0.67
 110 20140901 033414.332 65.11191 -16.38688  5.550  2.43  2.50
 111 20140901 033854.414 64.84010 -16.87310 13.463  1.60  1.27
 112 20140901 034028.843 64.86225 -16.84583 12.108  1.45  1.52
 113 20140901 034151.214 64.85818 -16.85581 12.084  1.58  1.41
 114 20140901 034253.498 64.76238 -16.94980 14.339  1.62  1.22
 115 20140901 034320.422 65.09988 -16.41545  1.362  1.23  1.60
 116 20140901 034327.907 65.10614 -16.39414  3.378  1.93  1.64
 117 20140901 034544.184 65.12938 -16.34532  3.427  2.15  2.21
 118 20140901 034650.081 64.84031 -16.88821  3.723  0.69  0.60
 119 20140901 034741.213 65.11493 -16.36676 10.886  1.62  1.18
 120 20140901 034809.252 64.85539 -16.84738 10.962  1.01  0.90
 121 20140901 035553.551 64.86237 -16.85078 12.075  2.43  2.09
 122 20140901 042247.703 64.84046 -16.86718 11.025  1.06  0.85
 123 20140901 042320.625 65.10172 -16.40759  5.052  2.16  2.33
 124 20140901 042416.154 64.85934 -16.85361 11.144  1.59  1.36
 125 20140901 043022.414 65.09969 -16.39746 11.409  0.95  0.79
 126 20140901 043054.060 65.19395 -16.25770  0.745  1.82  1.81
 127 20140901 043401.628 64.83081 -16.88471 13.951  0.86  0.92
 128 20140901 043555.615 65.19304 -16.25888  1.921  2.12  2.47
 129 20140901 043757.330 64.89072 -16.83258 11.355  0.91  0.99
 130 20140901 044540.116 64.63172 -17.51961  4.751  2.06  1.73
 131 20140901 045049.375 64.83490 -16.87367 11.833  1.33  1.05
 132 20140901 045922.776 64.67692 -17.45541  7.369  4.47  3.03
 133 20140901 050326.293 64.67629 -17.56063  7.957  1.76  1.72
 134 20140901 050452.234 64.87765 -16.84910 13.844  1.24  0.98
 135 20140901 050515.372 64.85777 -16.85569 13.023  1.68  1.72
 136 20140901 052416.698 65.13068 -16.33820  5.307  1.80  1.86
 137 20140901 053733.744 64.65315 -17.53748  7.892  3.61  2.00
 138 20140901 054931.290 64.86479 -16.84231 12.010  1.13  1.00
 139 20140901 055319.244 64.79568 -16.91058 13.942  1.29  0.87
 140 20140901 055352.541 64.83255 -16.87239 12.885  0.89  0.69
 141 20140901 055452.717 64.83616 -16.86558  8.934  0.61  0.59
 142 20140901 055555.803 65.08624 -16.43358  3.877  1.90  1.86
 143 20140901 055828.041 64.83114 -16.86826  6.813  0.48  0.39
 144 20140901 060114.693 64.79266 -16.91326 13.965  1.04  0.86
 145 20140901 060139.623 64.79413 -16.92309 14.050  1.97  1.77
 146 20140901 060226.809 64.79303 -16.89604 12.309  0.86  0.69
 147 20140901 060446.268 64.77861 -16.92809  9.684  1.39  1.35
 148 20140901 060549.132 64.86504 -16.84839 12.004  1.74  1.72
 149 20140901 060811.770 64.86524 -16.84968 12.371  1.74  1.58
 150 20140901 061001.299 64.86706 -16.84701 11.727  1.33  1.13
 151 20140901 061109.594 64.87946 -16.83642 10.772  1.68  1.43
 152 20140901 061942.966 65.13730 -16.32879  4.635  1.23  1.60
 153 20140901 065342.915 64.79381 -16.91700 15.543  1.46  1.12
 154 20140901 065555.591 64.62775 -17.36601  2.522  3.18  1.70
 155 20140901 065638.018 64.76378 -17.85359  0.578  2.09  1.96
 156 20140901 065706.748 64.86661 -16.85394 11.259  1.89  1.66
 157 20140901 070302.144 64.86325 -16.84751 13.402  1.18  1.02
 158 20140901 073012.138 64.86111 -16.84934 12.464  1.87  1.76
 159 20140901 073939.915 65.19921 -16.25744  1.139  2.45  2.78
 160 20140901 074353.675 64.62808 -17.56759  6.144  1.86  1.55
 161 20140901 085811.932 64.66113 -17.53831  8.596  5.04  3.98
 162 20140901 091218.209 64.66144 -17.52649  8.959  3.04  2.02
 163 20140901 094711.856 65.19315 -16.25850  0.810  2.50  2.56
 164 20140901 100054.427 64.86237 -16.84895  7.918  3.00  2.71
 165 20140901 103345.574 65.12974 -16.34387  4.926  3.14  2.80
 166 20140901 104135.102 65.12754 -16.34299  2.671  2.07  2.24
 167 20140901 104502.185 65.13178 -16.33575  2.459  2.49  2.21
 168 20140901 105346.428 65.13119 -16.33695  3.256  2.30  1.87
 169 20140901 113622.682 65.10550 -16.39727  3.908  2.14  1.85
 170 20140901 114108.460 64.67747 -17.45203  6.843  5.28  4.04
 171 20140901 122855.913 65.13861 -16.32221  2.031  2.08  2.10
 172 20140901 133604.484 65.11787 -16.36406  3.990  1.74  1.76
 173 20140901 141448.060 64.85804 -16.85641  7.403  2.24  1.99
 174 20140901 152800.964 65.13830 -16.31441  5.275  1.74  1.61
 175 20140901 153307.415 65.09959 -16.40633  5.608  2.21  1.81
 176 20140901 153920.336 64.79490 -16.91018 11.002  1.49  1.29
 177 20140901 154523.071 65.13289 -16.33639  4.995  2.86  2.83
 178 20140901 155136.427 64.83947 -16.87658 11.681  1.41  1.46
