  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140908 000644.804 63.61161 -19.14005  0.135  1.34  0.43
   2 20140908 001334.064 64.84056 -16.87077  4.826  0.69  0.54
   3 20140908 001905.321 64.76373 -16.95044 11.037  0.96  0.84
   4 20140908 002519.801 64.78038 -16.89393  6.712  1.13  0.29
   5 20140908 002551.657 64.85126 -16.87169  7.194  1.20  0.97
   6 20140908 002755.866 64.85519 -16.86560  4.823  0.97  0.94
   7 20140908 003213.796 64.78281 -16.92750  0.135  1.01  0.88
   8 20140908 003602.260 64.80883 -16.88475  5.584  0.84  0.37
   9 20140908 005414.999 65.05177 -16.53819  4.822  0.90  0.86
  10 20140908 005948.827 64.73315 -16.89037  4.230  0.83  0.64
  11 20140908 010438.381 65.12450 -16.37876  4.352  0.77  0.54
  12 20140908 011149.431 64.67814 -17.57104  4.711  1.25  1.08
  13 20140908 011247.453 64.68700 -17.70506 23.036  1.45  0.63
  14 20140908 012429.317 63.89944 -22.23794  7.295  1.84  1.64
  15 20140908 012934.042 64.71036 -17.52358 16.536  1.05  0.84
  16 20140908 013508.013 64.68710 -17.49401  0.270  0.68  0.86
  17 20140908 013851.664 64.79778 -16.92593 11.313  0.95  0.87
  18 20140908 014504.392 64.79475 -16.92000  7.813  0.60  0.58
  19 20140908 014737.526 64.79927 -16.91345  8.877  1.00  1.02
  20 20140908 015732.456 64.80582 -16.92134  8.141  0.79  0.54
  21 20140908 021456.066 64.79512 -16.95552 14.879  1.05  0.90
  22 20140908 022853.957 64.86150 -16.84863  4.909  1.68  1.48
  23 20140908 023227.184 64.79670 -16.92582 11.430  1.62  1.30
  24 20140908 024532.792 65.12013 -16.38260  5.966  0.81  0.69
  25 20140908 024549.334 64.78733 -16.89942 11.029  0.72  0.74
  26 20140908 025419.333 64.79769 -16.91109  8.765  0.89  0.69
  27 20140908 031308.506 65.11663 -16.37610  7.569  1.32  1.04
  28 20140908 033618.424 64.79099 -16.92036  9.854  0.96  0.57
  29 20140908 033857.884 64.79157 -16.92819 11.111  0.81  0.75
  30 20140908 034815.996 65.04607 -16.50887  8.855  1.77  0.90
  31 20140908 035526.054 64.79267 -16.88882  8.403  0.77  0.57
  32 20140908 040037.712 64.80279 -16.91328  8.931  2.02  1.50
  33 20140908 041109.647 64.67329 -17.46353  0.669  1.62  1.51
  34 20140908 041810.584 64.78853 -16.91368 12.694  1.07  0.62
  35 20140908 042713.599 64.79862 -16.89681  8.917  0.84  0.59
  36 20140908 042733.408 64.79490 -16.90013  7.504  1.06  0.74
  37 20140908 045822.696 64.62869 -17.55087  5.711  1.37  0.72
  38 20140908 045856.766 63.54935 -19.11246  0.135  0.42  0.38
  39 20140908 050008.717 64.79065 -16.91133  8.243  1.30  0.96
  40 20140908 054932.124 64.81821 -16.91670  8.317  1.15  0.66
  41 20140908 055119.364 63.65938 -19.12245  0.038  2.38  1.70
  42 20140908 055209.721 63.65754 -19.13073  0.027  1.76  1.39
  43 20140908 060721.888 64.61948 -17.56770  2.987  1.73  1.69
  44 20140908 061215.479 64.79057 -16.92496 10.705  0.91  0.76
  45 20140908 061541.302 64.67050 -17.47017  6.535  4.82  3.26
  46 20140908 064519.322 64.80107 -16.90132 11.241  1.40  1.08
