  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140825 000732.869 64.76192 -17.87502  0.698  2.85  2.53
   2 20140825 000827.818 64.75307 -17.88000  1.363  2.40  2.09
   3 20140825 001147.920 64.83267 -16.87450  4.290  2.54  2.22
   4 20140825 002027.142 64.83387 -16.88581  9.710  2.14  1.61
   5 20140825 002209.035 64.82990 -16.87836  4.512  2.40  1.97
   6 20140825 002336.425 64.85941 -16.85933 13.416  1.41  1.09
   7 20140825 002447.837 64.83633 -16.87736 12.621  2.14  1.54
   8 20140825 002802.348 64.86349 -16.85002 11.219  2.52  2.08
   9 20140825 003139.607 64.86333 -16.86162  8.577  1.73  1.45
  10 20140825 003437.325 64.83372 -16.87122 12.229  1.88  1.38
  11 20140825 003454.321 64.83371 -16.88218 12.836  2.10  1.73
  12 20140825 003630.882 64.83427 -16.88077 12.965  2.15  1.70
  13 20140825 003739.682 64.83438 -16.87598 11.729  2.45  1.81
  14 20140825 003923.038 64.82914 -16.87153 10.117  1.91  1.69
  15 20140825 004608.594 64.85764 -16.84905  7.115  2.05  1.66
  16 20140825 004713.382 64.82959 -16.88055 13.806  1.98  1.24
  17 20140825 004804.270 64.84369 -16.86681 12.832  1.54  1.21
  18 20140825 005225.008 64.86150 -16.84707  8.838  2.01  2.09
  19 20140825 005240.577 64.75246 -17.88369  1.471  2.35  2.49
  20 20140825 005544.177 64.83932 -16.87115 11.921  2.14  1.63
  21 20140825 010132.881 64.83853 -16.87400 12.213  2.66  2.09
  22 20140825 010226.248 64.84270 -16.87092 11.771  1.75  1.59
  23 20140825 010728.920 64.82592 -16.88118 10.921  2.13  1.75
  24 20140825 010754.753 64.82704 -16.88124  9.391  2.29  1.48
  25 20140825 010830.630 64.85210 -16.85327  8.844  1.97  1.64
  26 20140825 010945.712 64.85879 -16.85214  9.977  1.65  1.38
  27 20140825 011125.422 64.80388 -16.90095  9.729  2.08  1.57
  28 20140825 011816.935 64.83953 -16.86378 12.323  1.95  1.56
  29 20140825 012308.233 64.85983 -16.85091 10.200  2.23  2.04
  30 20140825 012813.415 64.86111 -16.84586 12.479  1.98  1.49
  31 20140825 012908.176 64.85946 -16.85113  7.405  2.21  1.67
  32 20140825 013322.344 64.85860 -16.85085 11.124  2.12  1.74
  33 20140825 013414.975 64.86127 -16.84498 12.437  1.82  1.41
  34 20140825 014850.872 64.85534 -16.85477 12.017  1.84  1.25
  35 20140825 015106.583 64.85847 -16.84384  9.451  1.76  1.41
  36 20140825 015345.717 64.85197 -16.85588 12.157  1.75  1.18
  37 20140825 015740.079 64.80609 -16.91732 12.527  2.22  1.72
  38 20140825 015955.940 64.80906 -16.90831 10.414  2.48  2.28
  39 20140825 020115.173 64.77565 -16.93364 13.528  1.71  1.35
  40 20140825 020201.446 64.85698 -16.84935  6.340  2.19  2.04
  41 20140825 020447.027 64.86114 -16.84408  8.957  1.89  1.39
  42 20140825 020807.029 64.82519 -16.88301 12.447  1.94  1.39
  43 20140825 020831.914 64.85674 -16.84260  9.289  2.04  1.23
  44 20140825 021424.007 64.86217 -16.84192  8.758  1.65  1.26
  45 20140825 021715.119 64.85925 -16.84702 10.505  2.33  2.13
  46 20140825 022118.483 64.50713 -17.71079 10.234  2.25  1.41
  47 20140825 022234.596 64.85715 -16.84567 10.480  1.91  1.79
  48 20140825 022711.962 64.85343 -16.85112  7.114  2.53  2.08
  49 20140825 023054.678 64.80096 -16.88998  4.892  3.03  2.81
  50 20140825 023305.289 64.85633 -16.85205 10.424  2.67  2.24
  51 20140825 023510.353 64.85505 -16.84854 12.127  3.05  3.15
  52 20140825 023907.547 64.85786 -16.84500  9.985  2.50  2.46
  53 20140825 024534.791 64.85609 -16.84097  8.051  3.19  3.08
  54 20140825 024611.944 64.85610 -16.84624  9.446  2.94  2.42
  55 20140825 024813.583 64.85506 -16.84364 11.728  2.97  3.07
  56 20140825 025205.194 64.85271 -16.84630 13.189  2.50  2.33
  57 20140825 025540.408 64.80285 -16.90855 10.309  2.67  2.25
  58 20140825 025609.040 64.85441 -16.85151 12.772  1.99  1.99
  59 20140825 025731.128 64.85497 -16.84433  7.917  3.48  3.42
  60 20140825 030442.005 64.85862 -16.84201 11.895  2.85  2.89
  61 20140825 030724.982 64.85254 -16.86370  4.718  2.38  1.95
  62 20140825 033046.815 64.82494 -16.87884 11.212  1.71  1.56
  63 20140825 033114.497 64.84981 -16.85321 10.383  2.81  2.56
  64 20140825 033226.974 64.85144 -16.84974 11.212  1.76  1.58
  65 20140825 033416.429 64.85184 -16.84913 11.571  1.44  1.25
  66 20140825 033811.084 64.85113 -16.84307 11.598  1.44  1.41
  67 20140825 033914.935 64.84925 -16.85053 11.991  3.54  3.47
  68 20140825 034231.911 64.86314 -16.85719 10.973  1.83  1.68
  69 20140825 034316.010 64.84915 -16.85192 10.918  1.76  1.59
  70 20140825 034335.415 64.79960 -16.89936  6.366  2.77  2.44
  71 20140825 034429.016 64.85223 -16.85624 10.620  1.92  1.67
  72 20140825 034508.264 64.84968 -16.85785 10.825  2.44  2.23
  73 20140825 034820.193 64.84908 -16.84756  7.469  2.77  2.68
  74 20140825 035250.886 64.83127 -16.86993 12.173  1.44  1.03
  75 20140825 035334.294 64.84961 -16.85117  8.368  1.67  1.48
  76 20140825 035557.912 64.85820 -16.84354 11.067  1.00  0.79
  77 20140825 040502.013 64.85390 -16.84430  7.295  2.67  2.47
  78 20140825 040657.057 64.84851 -16.85682 10.965  2.45  2.00
  79 20140825 040810.642 64.84983 -16.85680 10.925  2.91  2.57
  80 20140825 040921.645 64.84814 -16.85940 11.522  1.54  1.32
  81 20140825 040944.505 64.84841 -16.85612 10.653  2.33  2.00
  82 20140825 041030.907 64.84734 -16.85063  9.643  1.58  1.45
  83 20140825 041046.205 64.78538 -16.91903 10.063  1.68  1.54
  84 20140825 041102.626 64.84454 -16.85203 11.892  1.68  1.09
  85 20140825 041147.435 64.85214 -16.85373 10.398  2.58  2.53
  86 20140825 041443.851 64.83379 -16.86735 11.544  2.13  1.82
  87 20140825 041500.209 64.83192 -16.87042 12.814  1.75  1.74
  88 20140825 041612.613 64.84702 -16.85760 10.657  2.36  2.00
  89 20140825 042238.288 64.84741 -16.85107 11.385  2.37  2.44
  90 20140825 042948.018 64.85001 -16.85708 11.864  2.79  2.35
  91 20140825 043252.628 64.84973 -16.85007  8.890  3.24  2.90
  92 20140825 043609.677 64.80151 -16.89095 11.366  3.19  2.84
  93 20140825 043901.001 64.84143 -16.86196 11.471  2.17  1.86
  94 20140825 044001.441 64.85741 -16.84273 12.047  3.07  2.88
  95 20140825 044159.459 64.66938 -17.45339  6.608  2.34  2.41
  96 20140825 044516.703 64.85082 -16.85241 11.951  2.17  1.98
  97 20140825 044739.451 64.85519 -16.85182 12.858  1.39  1.50
  98 20140825 045121.627 64.83577 -16.87108 11.759  1.55  1.36
  99 20140825 045143.099 64.84971 -16.85249 11.356  1.07  0.96
 100 20140825 045409.458 64.84519 -16.86372 10.909  1.46  1.22
 101 20140825 051540.477 64.83071 -16.87181 11.115  2.39  2.08
 102 20140825 052822.656 64.85346 -16.84194 10.923  2.23  1.91
 103 20140825 053049.537 64.82478 -16.88156 11.812  1.41  1.56
 104 20140825 053454.081 64.85574 -16.84623 11.214  1.65  1.52
 105 20140825 053729.423 64.85545 -16.84947 10.564  2.45  2.10
 106 20140825 054113.551 64.85596 -16.84614  9.700  2.32  1.87
 107 20140825 054554.336 64.81171 -16.89345  8.401  1.55  1.43
 108 20140825 054736.454 64.85351 -16.85901  9.951  1.35  1.24
 109 20140825 054821.447 64.82553 -16.87786  6.716  2.03  1.59
 110 20140825 060821.658 64.85555 -16.84404  8.031  3.57  3.30
 111 20140825 061420.783 64.83547 -16.87512 10.609  2.45  2.11
 112 20140825 072011.953 64.83834 -16.87619 11.409  2.83  2.74
 113 20140825 073814.909 64.83431 -16.87414 12.430  3.06  2.74
 114 20140825 074055.721 64.83915 -16.87538  7.975  1.97  1.78
 115 20140825 074246.081 64.80608 -16.90539 13.172  2.58  2.19
 116 20140825 082201.031 64.84084 -16.86759  9.957  3.18  2.54
 117 20140825 082259.281 64.79581 -16.89051 10.017  2.24  2.13
 118 20140825 091816.107 63.65928 -19.05835  0.135  1.73  1.39
 119 20140825 091925.052 63.66706 -19.07389  9.172  1.06  0.58
 120 20140825 094432.265 64.85922 -16.85065 13.260  3.14  2.67
 121 20140825 095532.106 64.83503 -16.87418 13.470  2.94  2.49
 122 20140825 102327.604 64.86250 -16.86908  9.995  3.25  2.81
 123 20140825 102647.359 64.86910 -16.83084 12.645  2.17  1.54
 124 20140825 103008.137 64.83907 -16.87857 10.574  2.16  1.67
 125 20140825 104359.893 64.86577 -16.83963  9.995  2.95  2.17
 126 20140825 105840.572 66.21762 -18.25259 12.145  1.40  1.83
 127 20140825 110247.357 64.85345 -16.85965 10.756  2.01  1.65
 128 20140825 113010.066 64.80488 -16.90340 10.623  3.00  2.59
 129 20140825 115318.776 64.67200 -17.45727  6.478  2.42  2.61
 130 20140825 122322.447 64.86648 -16.83873 11.739  2.33  2.06
 131 20140825 130020.334 64.86002 -16.84795  9.794  2.22  2.00
 132 20140825 130219.208 64.85623 -16.84464 11.718  2.26  1.79
 133 20140825 131028.278 64.85989 -16.83778  9.792  2.70  2.16
 134 20140825 133928.004 64.86013 -16.83966  7.632  2.07  1.91
 135 20140825 140326.725 64.85467 -16.84101  8.585  2.65  2.34
 136 20140825 141437.237 64.85571 -16.84202 11.377  2.63  2.33
 137 20140825 142848.733 64.85610 -16.84727  6.638  2.45  2.27
 138 20140825 151002.733 64.85733 -16.84678 11.998  1.80  1.63
 139 20140825 151129.152 64.84807 -16.85370 11.942  3.04  2.87
 140 20140825 151834.688 64.85616 -16.84472 12.345  1.34  1.46
 141 20140825 151926.517 64.85816 -16.84644 11.290  3.01  2.73
 142 20140825 152804.559 64.85275 -16.85749 11.058  1.53  1.79
 143 20140825 161219.458 64.76405 -17.86190  0.399  2.40  1.80
 144 20140825 161903.174 64.61208 -17.47208  1.952  5.11  3.68
 145 20140825 162551.606 66.22416 -18.27230  8.798  1.23  1.59
 146 20140825 163643.771 64.86121 -16.85431  9.995  3.20  3.01
 147 20140825 181418.406 66.13906 -16.64758 10.117  0.41  0.56
 148 20140825 182412.631 64.83832 -16.87459  9.941  3.02  2.49
 149 20140825 185855.440 64.85320 -16.85805 10.659  2.18  2.01
 150 20140825 190114.074 64.86622 -16.84929 12.996  2.07  1.93
 151 20140825 190157.859 64.86608 -16.84387 12.124  2.04  1.78
 152 20140825 190330.148 64.86503 -16.84543 11.997  2.31  2.06
 153 20140825 190456.070 64.86919 -16.83961 12.141  1.71  1.50
 154 20140825 190551.256 64.86995 -16.84054 12.210  1.64  1.42
 155 20140825 191223.636 64.86394 -16.84879 12.246  2.41  2.03
 156 20140825 193824.306 64.85149 -16.85773 10.192  2.35  1.88
 157 20140825 194045.539 64.88068 -16.85216 13.133  1.78  1.82
 158 20140825 194221.575 64.83313 -16.88275 12.336  2.29  1.95
 159 20140825 194508.724 64.86054 -16.84740 11.643  1.56  1.43
 160 20140825 194555.503 64.87894 -16.83116 11.446  1.81  1.67
 161 20140825 194811.432 64.87033 -16.84101 11.801  2.06  1.67
 162 20140825 195218.998 64.86517 -16.84252 11.780  1.81  1.51
 163 20140825 195344.786 64.86989 -16.83796 12.031  1.79  1.68
 164 20140825 195500.407 64.87025 -16.83696 11.664  1.84  1.54
 165 20140825 200001.627 64.85696 -16.85741 11.476  2.30  1.98
 166 20140825 200918.287 64.87584 -16.83908 11.647  1.45  1.74
 167 20140825 200923.727 64.85184 -16.85706 12.413  1.95  1.69
 168 20140825 202703.136 64.66603 -17.42345  8.832  2.43  2.38
 169 20140825 203041.077 64.86231 -16.84692 12.097  1.89  1.69
 170 20140825 203158.877 64.87019 -16.84466 12.311  2.64  2.39
 171 20140825 203706.100 64.86049 -16.84948  9.446  1.98  1.62
 172 20140825 204303.675 64.86391 -16.84357 11.927  1.62  1.41
 173 20140825 205026.777 64.87579 -16.83564  9.581  2.09  1.66
 174 20140825 205100.125 64.88566 -16.82941 12.839  1.93  1.50
 175 20140825 210426.600 64.86237 -16.84764 11.776  1.66  1.59
 176 20140825 210905.019 64.86280 -16.84587 11.502  1.86  1.51
 177 20140825 211402.707 64.87611 -16.83260 11.646  1.85  1.55
 178 20140825 212057.099 64.87680 -16.83548  9.682  1.78  1.53
 179 20140825 212148.292 64.87818 -16.83620 12.425  1.77  1.50
 180 20140825 212351.130 64.87597 -16.83913 12.458  1.92  1.75
 181 20140825 213054.131 64.87678 -16.83674 12.689  1.91  1.73
 182 20140825 214009.941 64.67085 -17.45431  7.494  2.25  2.14
 183 20140825 214117.547 64.87331 -16.83606 11.627  2.11  1.71
 184 20140825 214319.616 64.87784 -16.84295 14.087  1.82  1.54
 185 20140825 214613.111 64.86886 -16.83526  9.406  2.07  1.61
 186 20140825 214724.228 64.87501 -16.83605  9.369  2.24  1.60
 187 20140825 214845.365 64.87862 -16.82999 12.390  1.78  1.80
 188 20140825 215126.120 64.87490 -16.83962 12.444  1.81  1.48
 189 20140825 215232.819 64.86343 -16.85060 12.874  2.17  1.82
 190 20140825 215821.359 64.88440 -16.82954 12.478  2.00  1.80
 191 20140825 220026.455 64.87959 -16.83453 11.014  1.53  1.22
 192 20140825 220127.948 64.88589 -16.82997 12.486  1.80  1.63
 193 20140825 220144.651 64.87628 -16.83502 11.994  2.23  1.74
 194 20140825 220447.236 64.87261 -16.83995 12.269  1.94  1.73
 195 20140825 220637.530 64.87302 -16.83723 11.536  1.91  1.61
 196 20140825 220807.981 64.87008 -16.84203  9.734  2.57  1.93
 197 20140825 221426.313 64.86237 -16.85140 12.519  3.37  3.41
 198 20140825 222105.947 63.64150 -19.08805  0.135  2.34  1.82
 199 20140825 222129.892 64.62677 -17.38004  4.541  2.86  3.27
 200 20140825 222306.245 64.87071 -16.83686 11.716  1.87  1.71
 201 20140825 223003.029 64.87131 -16.84333 11.718  2.61  2.31
 202 20140825 223244.750 64.87735 -16.83560 11.910  1.99  1.79
 203 20140825 224139.030 64.87522 -16.83658 11.499  2.46  2.11
 204 20140825 224749.802 64.86533 -16.84728 11.952  2.72  2.57
 205 20140825 231255.392 64.87438 -16.83801  8.142  3.07  2.53
 206 20140825 232645.263 64.87372 -16.84069 11.974  2.62  2.21
 207 20140826 000127.472 64.85265 -16.86078 14.251  1.56  1.62
 208 20140826 000230.482 64.87810 -16.83158 11.793  2.29  1.90
 209 20140826 000418.827 64.87791 -16.83542  9.608  2.01  1.56
 210 20140826 000501.522 64.83753 -16.87350 12.597  2.30  2.06
 211 20140826 000526.797 64.85766 -16.85865 13.966  2.18  1.76
 212 20140826 000634.129 64.88221 -16.82934  9.446  2.27  1.83
 213 20140826 000651.508 64.86003 -16.87417 12.185  1.93  1.41
 214 20140826 000952.331 64.87785 -16.83808 11.371  1.76  1.73
 215 20140826 001558.000 64.85591 -16.84875  9.778  1.46  1.34
 216 20140826 002049.121 64.83297 -16.86830 13.092  2.07  2.04
 217 20140826 002931.928 64.85014 -16.85315 13.390  2.49  1.99
 218 20140826 003256.621 64.75663 -16.94637 15.337  2.30  1.88
 219 20140826 003421.324 64.87174 -16.83327 13.098  2.53  2.23
 220 20140826 004243.089 64.85806 -16.84698 13.631  1.94  1.37
 221 20140826 005547.960 64.85580 -16.85624 12.008  2.29  2.01
 222 20140826 005709.390 64.86426 -16.84272 13.236  1.84  1.59
 223 20140826 010158.963 64.80619 -16.93930 14.118  1.83  1.65
 224 20140826 011012.824 64.83607 -16.87633 12.034  2.63  2.26
 225 20140826 011138.151 64.78844 -16.93859 19.010  1.92  1.17
 226 20140826 011721.774 64.86695 -16.84390 11.211  2.00  1.57
 227 20140826 011909.935 64.26604 -17.55743 10.654  1.92  1.10
 228 20140826 012039.208 64.83921 -16.84858 11.626  2.03  1.22
 229 20140826 012530.049 64.86305 -16.85091 10.983  2.06  1.18
 230 20140826 012606.110 64.67715 -17.47328  6.191  4.13  3.96
 231 20140826 013123.678 64.84879 -16.85453 13.714  2.54  2.24
 232 20140826 013123.679 64.84916 -16.85452 13.630  2.54  2.26
 233 20140826 013324.513 64.86063 -16.84817 12.437  2.22  2.00
 234 20140826 013516.790 64.80087 -16.91313 13.736  3.02  2.30
 235 20140826 014458.206 64.82879 -16.87254 10.596  1.48  0.90
 236 20140826 014845.641 64.83172 -16.88352 12.369  2.08  1.69
 237 20140826 015156.515 64.80418 -16.89489  0.135  2.21  1.77
 238 20140826 015307.289 64.84957 -16.85256 13.876  2.39  1.82
 239 20140826 015434.488 64.80932 -16.90897 12.365  2.13  1.55
 240 20140826 015725.280 64.85009 -16.85704 12.277  2.15  1.96
 241 20140826 021022.882 64.85311 -16.85639 10.073  1.98  1.70
 242 20140826 023338.976 64.85985 -16.85313 10.554  2.68  2.27
 243 20140826 023617.893 64.85966 -16.84448 13.307  3.38  3.33
 244 20140826 023933.956 65.70645 -16.74631  0.135  1.19  0.59
 245 20140826 024013.584 65.70630 -16.74727  0.135  1.64  0.99
 246 20140826 024015.978 64.80932 -16.90843 12.720  2.40  2.16
 247 20140826 024159.856 64.83745 -16.88604  8.510  2.10  1.64
 248 20140826 024501.518 64.80762 -16.90730 12.388  2.87  2.43
 249 20140826 024817.191 64.85185 -16.85967 12.839  2.42  1.11
 250 20140826 030120.703 64.82909 -16.87755 11.737  2.38  1.91
 251 20140826 030414.587 64.86372 -16.84559 11.432  2.30  2.11
 252 20140826 030847.205 64.82339 -16.89804 12.729  2.00  1.65
 253 20140826 031450.018 64.80299 -16.91155 12.546  2.37  2.11
 254 20140826 032459.722 64.80911 -16.94557 13.389  2.15  1.69
 255 20140826 034508.782 64.80603 -16.90321 12.882  2.99  2.41
 256 20140826 040014.347 64.85145 -16.85599 12.801  2.09  1.63
 257 20140826 041406.288 64.85982 -16.85078 12.553  2.25  1.78
 258 20140826 042538.484 64.83227 -16.88719 12.218  2.28  1.62
 259 20140826 045415.371 64.85616 -16.84410 10.142  2.47  1.95
 260 20140826 051212.623 64.85875 -16.85363 11.493  2.66  2.06
 261 20140826 051942.636 64.82447 -16.88380 12.281  1.76  1.49
 262 20140826 053110.405 64.80368 -16.90326 11.152  2.44  2.63
 263 20140826 054237.217 65.03910 -16.46654  0.191  1.16  0.89
 264 20140826 054551.936 66.21873 -18.25222 11.168  1.58  2.15
 265 20140826 055542.143 64.82307 -16.90081 12.625  1.66  1.35
 266 20140826 061605.089 65.05599 -16.56594  2.824  2.42  1.95
 267 20140826 064740.000 65.05113 -16.55378  3.776  1.92  0.89
 268 20140826 064921.345 64.83634 -16.88292 12.522  2.34  1.65
 269 20140826 065400.169 64.80752 -16.90587 13.486  1.79  1.64
 270 20140826 070447.104 64.80624 -16.90345 12.411  2.19  2.27
 271 20140826 071026.091 65.03621 -16.62001  3.927  0.97  0.85
 272 20140826 071317.731 65.03391 -16.61884  4.095  1.86  1.46
 273 20140826 072425.014 65.05305 -16.57979  3.450  1.54  1.08
 274 20140826 072901.231 65.03840 -16.61378  4.027  1.39  1.13
 275 20140826 073317.195 64.80358 -16.89485  9.318  2.10  2.22
 276 20140826 073456.977 65.03965 -16.61088  4.049  0.94  0.83
 277 20140826 081022.387 65.04250 -16.60314  4.114  1.44  1.26
 278 20140826 082134.442 64.80444 -16.90713  9.736  2.85  2.48
 279 20140826 083416.470 64.80370 -16.90030 11.580  2.97  3.05
 280 20140826 084808.898 64.65752 -17.53747  6.996  1.89  1.95
 281 20140826 085222.228 64.67104 -17.47585  0.670  1.38  1.60
 282 20140826 092029.895 64.80130 -16.90538  9.950  2.31  2.37
 283 20140826 092805.726 63.54815 -19.10710  0.135  0.84  0.43
 284 20140826 102909.976 64.82771 -16.88025  6.476  2.37  1.77
 285 20140826 104228.215 64.84656 -16.85934  7.174  2.80  2.34
 286 20140826 104651.205 64.67238 -17.45948  7.166  2.45  2.42
 287 20140826 105704.709 64.68161 -17.55272  7.331  2.00  1.34
 288 20140826 111529.603 63.60630 -19.11268  2.453  1.29  0.96
 289 20140826 111613.126 63.60640 -19.11555  2.187  1.21  0.80
 290 20140826 111850.957 64.80119 -16.90088  5.572  2.39  2.37
 291 20140826 114254.329 64.80576 -16.90090  9.391  2.33  1.98
 292 20140826 114909.126 64.79980 -16.90250 12.660  2.90  2.66
 293 20140826 115152.410 64.80102 -16.89152 12.458  2.56  2.65
 294 20140826 115453.999 64.80469 -16.90730 10.227  2.25  2.15
 295 20140826 115645.664 64.80038 -16.89701  8.173  4.63  4.02
 296 20140826 120353.086 64.80176 -16.90323  3.939  1.73  1.60
 297 20140826 120552.293 64.79995 -16.89734 10.517  2.55  2.34
 298 20140826 121750.227 64.80141 -16.90816 11.647  2.39  2.21
 299 20140826 130457.138 64.80296 -16.90018  9.816  2.42  2.12
 300 20140826 133015.359 64.81846 -16.89247  9.469  2.31  1.77
