  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140818 000133.581 64.65111 -17.08395  6.988  1.51  1.24
   2 20140818 000401.149 64.62142 -17.17345  7.113  1.71  1.33
   3 20140818 000502.755 64.61908 -17.16796  8.448  1.84  1.52
   4 20140818 000815.510 64.61263 -17.18569  8.703  2.00  1.62
   5 20140818 002119.734 64.63039 -17.14429  3.970  1.82  1.39
   6 20140818 002220.243 64.60611 -17.20578  9.319  1.31  1.16
   7 20140818 002745.236 64.59763 -17.24662 13.148  1.62  1.10
   8 20140818 002959.916 64.61019 -17.19985  9.391  1.61  1.06
   9 20140818 003106.461 64.60551 -17.20177  3.818  1.87  1.71
  10 20140818 004349.022 64.76683 -17.10776  5.332  1.59  1.43
  11 20140818 005057.133 64.60259 -17.20456 10.601  2.38  2.20
  12 20140818 005438.843 64.63194 -17.17186 15.618  1.44  1.13
  13 20140818 005541.726 64.62946 -17.14872 11.329  1.81  1.62
  14 20140818 010301.163 64.65827 -16.85244 11.664  2.10  1.99
  15 20140818 010416.472 64.63739 -17.24260 12.603  1.39  1.17
  16 20140818 010805.473 64.64249 -16.94264  6.291  1.57  1.20
  17 20140818 011127.610 64.79733 -17.23862  6.405  2.62  2.28
  18 20140818 011426.254 64.61889 -17.20803 15.581  1.68  1.51
  19 20140818 012010.024 64.62675 -17.14454  8.694  1.81  1.72
  20 20140818 013729.567 64.77109 -17.28645  6.747  1.94  1.32
  21 20140818 014356.162 64.64663 -17.09036 10.186  1.41  1.16
  22 20140818 014522.293 64.65435 -17.07474  9.880  1.78  1.66
  23 20140818 014659.448 64.65649 -17.07978  9.774  1.46  1.25
  24 20140818 015821.753 64.64426 -17.10529 11.593  1.61  1.34
  25 20140818 021003.873 64.62717 -17.15787  6.355  1.55  1.28
  26 20140818 022112.808 64.64294 -17.09094  3.646  1.81  1.67
  27 20140818 022644.971 64.64114 -17.12840 12.908  1.60  1.58
  28 20140818 023719.036 64.80215 -17.19656  5.956  4.54  3.87
  29 20140818 024042.617 64.79872 -17.25970  7.803  1.87  1.66
  30 20140818 024133.872 64.78687 -17.20043  7.055  1.69  1.33
  31 20140818 024218.884 64.77296 -17.21320  4.983  2.10  1.63
  32 20140818 024311.607 64.61554 -17.19835  9.862  1.99  1.75
  33 20140818 024732.902 64.62809 -17.15792  9.823  1.53  1.23
  34 20140818 024929.328 64.78356 -17.19515  7.983  2.35  1.64
  35 20140818 025111.383 64.79588 -17.20904  5.952  1.96  1.66
  36 20140818 025630.745 64.62625 -17.16873  7.463  1.60  1.43
  37 20140818 025851.995 64.61712 -17.20239 11.062  1.64  1.27
  38 20140818 030728.339 64.65318 -17.07195  7.196  2.00  1.74
  39 20140818 031118.709 64.62551 -17.12961 10.134  1.60  1.56
  40 20140818 031139.893 64.79385 -17.21633  8.269  2.17  1.77
  41 20140818 032104.736 64.79729 -17.20254  8.711  2.61  2.25
  42 20140818 033051.883 64.63859 -17.12319 11.096  1.74  1.50
  43 20140818 033445.909 64.64287 -17.39333 10.669  2.28  1.78
  44 20140818 034546.017 64.64841 -17.09491 10.060  1.76  1.56
  45 20140818 034734.030 64.81642 -17.19382  8.064  1.81  1.51
  46 20140818 034815.559 64.63982 -17.12121 10.326  1.88  1.55
  47 20140818 040708.059 64.79113 -17.19843  7.334  0.96  0.98
  48 20140818 041548.788 64.63622 -17.20946  1.911  1.42  1.19
  49 20140818 041713.392 64.78149 -17.19223  7.866  1.72  1.72
  50 20140818 042453.039 64.65342 -16.97829  9.197  1.22  1.07
  51 20140818 042453.754 64.63708 -17.13187  9.751  1.44  1.21
  52 20140818 042628.707 64.64965 -17.00981  7.730  2.70  2.20
  53 20140818 043401.679 64.78899 -17.19495  7.441  2.46  2.10
  54 20140818 045003.907 64.65075 -17.09161 12.291  2.01  1.55
  55 20140818 045631.670 64.63200 -17.14192 11.365  1.71  1.48
  56 20140818 045937.137 64.63445 -17.15009 10.799  1.34  1.21
  57 20140818 050357.716 64.77280 -17.31042  7.356  2.22  1.72
  58 20140818 050607.965 64.77291 -17.30864  7.608  2.38  1.85
  59 20140818 051024.029 64.62605 -17.18373  5.765  1.86  1.52
  60 20140818 051321.383 64.61286 -17.20455  8.775  1.85  1.66
  61 20140818 052644.146 64.76293 -17.30515  5.976  1.74  1.35
  62 20140818 053141.815 64.62364 -17.17981  6.317  1.43  0.99
  63 20140818 054004.429 64.61274 -17.21667  6.998  1.68  1.11
  64 20140818 055857.358 64.63086 -17.15646  7.283  1.52  1.13
  65 20140818 060830.680 64.65494 -17.07751 10.813  2.04  1.67
  66 20140818 061220.653 64.61906 -17.21838 10.587  2.49  2.35
